Variable,Comparison,ChatGPT_Mean,ChatGPT_SD,Math2Visual_Mean,Math2Visual_SD,Mean_Difference,Diff_SD,Shapiro_W,Shapiro_p,Test_Used,Test_Statistic,p_value,Effect_Size,Effect_Size_Type,Bonferroni_alpha,Significant,Custom_Mean,Custom_SD
ease_of_use,ChatGPT vs Math2Visual,3.4285714285714284,2.14919697074224,6.0,1.0,-2.5714285714285716,2.0701966780270626,0.9451731650528868,0.6856620529227893,Paired t-test,-3.2863353450309964,0.016689984315831463,-1.4185276460864455,Hedges' g,0.001851851851851852,NOT significant,,
ease_of_use,ChatGPT vs Custom,3.4285714285714284,2.14919697074224,,,-2.5714285714285716,1.618347187425374,0.863543082556127,0.16282045093965702,Paired t-test,-4.203894298472224,0.005661314930604542,-1.506299584950065,Hedges' g,0.001851851851851852,NOT significant,6.0,0.816496580927726
ease_of_use,Math2Visual vs Custom,,,6.0,1.0,0.0,1.2909944487358056,0.9600500402372516,0.819163751196767,Paired t-test,0.0,1.0,0.0,Hedges' g,0.001851851851851852,NOT significant,6.0,0.816496580927726
intuitive,ChatGPT vs Math2Visual,2.4285714285714284,1.8126539343499315,5.285714285714286,1.4960264830861911,-2.857142857142857,2.478478796128211,0.8914425001537322,0.28227289803641864,Paired t-test,-3.0499714066520927,0.022512749982447983,-1.5001693869079546,Hedges' g,0.001851851851851852,NOT significant,,
intuitive,ChatGPT vs Custom,2.4285714285714284,1.8126539343499315,,,-2.857142857142857,2.6726124191242437,0.9373239154855784,0.6147471193857712,Paired t-test,-2.82842712474619,0.03001974528754439,-1.6967470599956624,Hedges' g,0.001851851851851852,NOT significant,5.285714285714286,1.1126972805283737
intuitive,Math2Visual vs Custom,,,5.285714285714286,1.4960264830861911,0.0,1.9148542155126762,0.7952581563260106,0.0367583896904528,Wilcoxon,4.0,0.75,0.2,rank-biserial r,0.001851851851851852,NOT significant,5.285714285714286,1.1126972805283737
time_investment,ChatGPT vs Math2Visual,6.428571428571429,1.1338934190276817,2.7142857142857144,1.9760470401187071,3.7142857142857144,2.4299715851758235,0.8650442843960318,0.16789005409581126,Paired t-test,4.044111609448659,0.006771109877409726,2.0748485316855456,Hedges' g,0.001851851851851852,NOT significant,,
time_investment,ChatGPT vs Custom,6.428571428571429,1.1338934190276817,,,3.0,2.160246899469287,0.8132054817920321,0.05519793638279815,Paired t-test,3.6742346141747673,0.01040172093546402,1.7687684947571825,Hedges' g,0.001851851851851852,NOT significant,3.4285714285714284,1.8126539343499315
time_investment,Math2Visual vs Custom,,,2.7142857142857144,1.9760470401187071,-0.7142857142857143,3.6839419880650364,0.8447161910156075,0.10989392060443798,Paired t-test,-0.5129891760425771,0.6262925253742337,-0.32752525910253705,Hedges' g,0.001851851851851852,NOT significant,3.4285714285714284,1.8126539343499315
effort,ChatGPT vs Math2Visual,6.142857142857143,1.8644544714716087,2.142857142857143,1.8644544714716091,4.0,2.160246899469287,0.8132054817920316,0.0551979363827976,Paired t-test,4.898979485566356,0.002713682035093796,1.863551405772453,Hedges' g,0.001851851851851852,NOT significant,,
effort,ChatGPT vs Custom,6.142857142857143,1.8644544714716087,,,2.5714285714285716,2.7602622373694166,0.840043785207595,0.09945144800812045,Paired t-test,2.464751508773248,0.04880385601830017,1.214873882667456,Hedges' g,0.001851851851851852,NOT significant,3.5714285714285716,1.8126539343499315
effort,Math2Visual vs Custom,,,2.142857142857143,1.8644544714716091,-1.4285714285714286,2.0701966780270626,0.8777991856678766,0.2168571149013982,Paired t-test,-1.8257418583505536,0.11768041115780567,-0.6749299348152534,Hedges' g,0.001851851851851852,NOT significant,3.5714285714285716,1.8126539343499315
iterative_refinement,ChatGPT vs Math2Visual,1.5714285714285714,0.7867957924694431,4.857142857142857,2.2677868380553634,-3.2857142857142856,2.0586634591635513,0.8876620978663917,0.26268894362433864,Paired t-test,-4.222731423398521,0.005544491623926601,-1.868706440366853,Hedges' g,0.001851851851851852,NOT significant,,
iterative_refinement,ChatGPT vs Custom,1.5714285714285714,0.7867957924694431,,,-3.5714285714285716,1.8126539343499315,0.9408886120767267,0.6467365830585304,Paired t-test,-5.212860351426869,0.0019898897780458087,-2.628583935420297,Hedges' g,0.001851851851851852,NOT significant,5.142857142857143,1.5735915849388864
iterative_refinement,Math2Visual vs Custom,,,4.857142857142857,2.2677868380553634,-0.2857142857142857,3.1997023671109224,0.9321833519568927,0.5696183867295552,Paired t-test,-0.23624976928744731,0.821097207763425,-0.12921354073287425,Hedges' g,0.001851851851851852,NOT significant,5.142857142857143,1.5735915849388864
accuracy,ChatGPT vs Math2Visual,1.2857142857142858,0.48795003647426666,5.571428571428571,1.511857892036909,-4.285714285714286,1.4960264830861913,0.9345841568253488,0.590524658052958,Paired t-test,-7.57936728959867,0.0002742278765223729,-3.7230433502142453,Hedges' g,0.001851851851851852,SIGNIFICANT,,
accuracy,ChatGPT vs Custom,1.2857142857142858,0.48795003647426666,,,-4.142857142857143,1.4638501094227998,0.8889435351088465,0.26919793088554866,Paired t-test,-7.487767802667673,0.0002931822105337165,-3.5989419052071034,Hedges' g,0.001851851851851852,SIGNIFICANT,5.428571428571429,1.511857892036909
accuracy,Math2Visual vs Custom,,,5.571428571428571,1.511857892036909,0.14285714285714285,2.2677868380553634,0.9491814107346138,0.7222414523169033,Paired t-test,0.16666666666666666,0.8731072049534141,0.0820775070766094,Hedges' g,0.001851851851851852,NOT significant,5.428571428571429,1.511857892036909
educational_value,ChatGPT vs Math2Visual,1.1428571428571428,0.37796447300922725,5.857142857142857,1.2149857925879117,-4.714285714285714,1.1126972805283737,0.9215784585093341,0.48175546704603817,Paired t-test,-11.209542638031497,3.010014973000106e-05,-5.141346185013556,Hedges' g,0.001851851851851852,SIGNIFICANT,,
educational_value,ChatGPT vs Custom,1.1428571428571428,0.37796447300922725,,,-4.428571428571429,1.511857892036909,0.9151136535581539,0.4324112764922036,Paired t-test,-7.749999999999999,0.0002425578895424482,-4.661677334550711,Hedges' g,0.001851851851851852,SIGNIFICANT,5.571428571428571,1.2724180205607036
educational_value,Math2Visual vs Custom,,,5.857142857142857,1.2149857925879117,0.2857142857142857,2.0586634591635513,0.8432570643652461,0.10652998322875518,Paired t-test,0.3671940368172627,0.726077451079171,0.19954866383422004,Hedges' g,0.001851851851851852,NOT significant,5.571428571428571,1.2724180205607036
future_use,ChatGPT vs Math2Visual,1.1428571428571428,0.37796447300922725,5.428571428571429,1.2724180205607034,-4.285714285714286,1.1126972805283737,0.9215784585093337,0.4817554670460362,Paired t-test,-10.19049330730136,5.200582045451108e-05,-4.511300646339399,Hedges' g,0.001851851851851852,SIGNIFICANT,,
future_use,ChatGPT vs Custom,1.1428571428571428,0.37796447300922725,,,-4.857142857142857,1.0690449676496974,0.6644356291814655,0.001497441315257737,Wilcoxon,0.0,0.015625,-1.0,rank-biserial r,0.001851851851851852,NOT significant,6.0,1.0
future_use,Math2Visual vs Custom,,,5.428571428571429,1.2724180205607034,-0.5714285714285714,2.0701966780270626,0.8777991856678766,0.2168571149013982,Paired t-test,-0.7302967433402213,0.4927262450169573,-0.43685457766918895,Hedges' g,0.001851851851851852,NOT significant,6.0,1.0
task_completion_time,ChatGPT vs Math2Visual,312.35714285714283,118.62997796008192,265.04571428571427,123.00782957155516,47.311428571428564,200.31843620084592,0.8277725766124697,0.07621497112022192,Paired t-test,0.6248764544352372,0.5550556636714268,0.3401451942987245,Hedges' g,0.001851851851851852,NOT significant,,
task_completion_time,ChatGPT vs Custom,312.35714285714283,118.62997796008192,,,165.93257142857144,208.65512783766513,0.9470201423291589,0.702519059355948,Paired t-test,2.1040284173941743,0.08003071886889247,1.0948409840733344,Hedges' g,0.001851851851851852,NOT significant,146.42457142857143,144.66571889342816
task_completion_time,Math2Visual vs Custom,,,265.04571428571427,123.00782957155516,118.62114285714283,135.66465461992252,0.9870943530999405,0.9865667934074507,Paired t-test,2.313366330482499,0.05999153269615896,0.7698742816926613,Hedges' g,0.001851851851851852,NOT significant,146.42457142857143,144.66571889342816
